date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2025-06-02,48.6875,29.004166666666666,550.7083333333334,29.204166666666666,6.925,113.29166666666667,0.37125,39.583333333333336,2.21875,116.70833333333333,69.375
2025-06-03,69.46666666666667,30.991666666666664,436.75,17.116666666666667,8.820833333333333,139.33333333333334,0.6070833333333333,73.95833333333333,1.7354166666666666,118.79166666666667,67.20833333333333
2025-06-04,115.5,41.270833333333336,437.7083333333333,25.241666666666664,10.508333333333335,125.20833333333333,0.5495833333333333,142.54166666666666,2.0124999999999997,115.91666666666667,72.83333333333333
2025-06-05,130.38333333333333,47.43333333333334,525.7083333333334,31.241666666666664,9.766666666666667,124.125,0.5891666666666667,160.83333333333334,2.095833333333333,135.375,86.83333333333333
2025-06-06,141.22083333333333,61.041666666666664,633.0416666666666,36.03333333333333,13.083333333333334,127.33333333333333,0.6383333333333333,157.08333333333334,2.0791666666666666,164.33333333333334,105.54166666666667
2025-06-07,80.16250000000001,43.45416666666667,647.6666666666666,24.2625,11.495833333333332,130.25,0.5466666666666667,73.66666666666667,2.160416666666667,147.08333333333334,79.75
2025-06-08,74.09166666666667,35.291666666666664,718.5416666666666,20.908333333333335,9.883333333333333,119.0,0.42166666666666663,78.79166666666667,2.2312499999999997,128.5,73.45833333333333
2025-06-09,61.425000000000004,32.84166666666667,754.0,22.883333333333336,9.799999999999999,117.125,0.39291666666666664,57.291666666666664,2.3249999999999997,112.5,67.95833333333333
2025-06-10,51.84583333333333,28.599999999999998,612.9583333333334,16.916666666666668,13.637500000000001,132.20833333333334,0.36833333333333335,48.0,2.5812500000000003,120.04166666666667,67.45833333333333
2025-06-11,64.17083333333333,30.587500000000002,752.6666666666666,19.462500000000002,9.966666666666667,107.04166666666667,0.41,68.04166666666667,2.4541666666666666,102.5,65.54166666666667
2025-06-12,69.91250000000001,29.95,588.2083333333334,23.09583333333333,9.220833333333333,109.70833333333333,0.42791666666666667,80.0,2.4479166666666665,105.91666666666667,67.79166666666667
