pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,year,month,day,day_of_week,aqi_lag1,aqi_lag2,aqi_lag3,aqi_rolling_mean,day1_target,day2_target,day3_target
34.0875,33.375,780.125,26.491666666666664,7.4375,87.04166666666667,0.5379166666666667,1.4583333333333333,1.59375,2025,8,27,2,59.54166666666666,82.04166666666667,86.33333333333333,73.58333333333331,133.25,121.54166666666669,91.58333333333331
51.59583333333333,50.90833333333333,818.875,34.07083333333333,10.279166666666669,91.83333333333331,0.6933333333333334,1.4583333333333333,1.5229166666666665,2025,8,28,3,79.16666666666667,59.54166666666666,82.04166666666667,90.65277777777776,121.54166666666669,91.58333333333331,109.04166666666669
36.00416666666667,35.670833333333334,480.3333333333333,23.52083333333333,7.170833333333333,84.20833333333333,0.8883333333333333,0.5833333333333334,1.3104166666666666,2025,8,29,4,133.25,79.16666666666667,59.54166666666666,111.31944444444444,91.58333333333331,109.04166666666669,93.875
33.75833333333333,33.43333333333333,598.0416666666666,24.9875,10.408333333333331,73.41666666666667,0.7625000000000001,0.5416666666666666,1.0875,2025,8,30,5,121.54166666666669,133.25,79.16666666666667,115.45833333333331,109.04166666666669,93.875,66.16666666666667
39.75416666666667,39.62083333333333,586.75,28.683333333333334,10.6625,61.54166666666666,0.755,0.0,0.6416666666666667,2025,8,31,6,91.58333333333331,121.54166666666669,133.25,107.38888888888887,93.875,66.16666666666667,72.5
21.120833333333334,21.08333333333333,421.9166666666667,13.620833333333332,9.229166666666666,92.75,0.4520833333333333,0.0,1.5770833333333334,2025,9,1,0,109.04166666666669,91.58333333333331,121.54166666666669,98.16666666666664,66.16666666666667,72.5,79.41666666666667
20.95833333333333,20.85833333333333,455.5416666666667,16.283333333333335,8.095833333333333,67.66666666666667,0.4312499999999999,0.0,0.75,2025,9,2,1,93.875,109.04166666666669,91.58333333333331,89.69444444444444,72.5,79.41666666666667,100.16666666666669
24.14583333333333,24.0,435.7916666666667,24.65,8.145833333333334,58.125,0.48875,0.0833333333333333,0.56875,2025,9,3,2,66.16666666666667,93.875,109.04166666666669,77.51388888888887,79.41666666666667,100.16666666666669,131.45833333333334
24.2625,23.870833333333334,630.9166666666666,25.35,9.283333333333331,61.91666666666666,0.3808333333333333,0.5416666666666666,1.7000000000000002,2025,9,4,3,72.5,66.16666666666667,93.875,72.69444444444443,100.16666666666669,131.45833333333334,121.75
40.1125,39.266666666666666,1240.7916666666667,56.9125,13.129166666666668,79.375,0.22875,0.6666666666666666,2.002083333333333,2025,9,5,4,79.41666666666667,72.5,66.16666666666667,84.02777777777777,131.45833333333334,121.75,97.625
51.15,49.80416666666667,1081.5833333333333,62.61666666666667,14.779166666666669,75.70833333333333,0.34125,1.2083333333333333,1.15,2025,9,6,5,100.16666666666669,79.41666666666667,72.5,103.68055555555554,121.75,97.625,115.125
39.35416666666666,38.7,794.9166666666666,34.579166666666666,10.691666666666668,66.41666666666667,0.6733333333333333,1.2916666666666667,0.8020833333333334,2025,9,7,6,131.45833333333334,100.16666666666669,79.41666666666667,117.79166666666667,97.625,115.125,110.875
30.829166666666666,30.58333333333333,986.0833333333334,32.6625,7.458333333333333,71.625,0.5904166666666667,0.2083333333333333,1.2125,2025,9,8,0,121.75,131.45833333333334,100.16666666666669,116.94444444444441,115.125,110.875,87.29166666666667
